respondentid,answeredat,do_you_give_your_consent_for_us_to_collect_your_data,do_you_currently_have_a_business_operating,please_provide_the_name_of_your_business,did_you_found_or_cofound_the_business,what_is_your_position_in_the_business,in_which_sector_does_your_business_operate,how_would_you_classify_the_current_stage_of_your_business,is_your_company_officially_registered_with_the_sat,during_the_past_year_how_much_revenue_salesturnover_did_your_company_generate_per_month_if_you_have_a_business_but_have_not_generated_any_revenue_yet_please_write_0_use_the_local_currency,does_the_previous_number_represent_an_increase_or_a_decrease_in_your_business_income_compared_to_the_previous_year,if_you_answered_increased_or_decreased_can_you_estimate_by_how_much_it_increased_or_decreased,did_you_hire_new_people_compared_to_last_year,if_the_answer_is_yes_how_many_more_people_did_you_hire,how_many_fulltime_paid_employees_including_yourself_do_you_currently_have_an_estimate_is_fine_if_its_just_you_please_put_1,how_many_parttime_paid_employees_including_casual_workers_do_you_currently_have_an_estimate_is_fine,did_you_raise_external_investments_for_your_business_in_the_past_through_family_friends_financial_institutions_or_other_sources_of_investment_capital_if_so_how_much_calculate_the_exact_accumulated_investment_in_local_currency_do_not_include_your_own_savings_an_estimate_is_fine,does_your_company_work_directly_or_indirectly_with_your_community_andor_your_supply_chains,in_which_of_the_following_ways_does_your_company_work_with_the_communitysupply_chain,if_possible_please_explain_in_more_detail_how_your_company_is_related_to_the_communitysupply_chain,calculate_how_many_of_these_people_experience_a_better_quality_of_life_by_working_directly_or_indirectly_to_benefit_the_stakeholders_of_the_community_indicated_in_the_previous_answers_be_as_precise_as_possible,if_you_answered_more_than_1000_calculate_the_exact_number,what_is_your_sustainable_business_approach_regarding_environmental_care,what_environmental_sustainability_practices_have_you_incorporated_into_your_business,"to_what_extent_do_you_agree_with_the_following_statement

my_experience_with_aspire__sinapis_during_the_program_and_postprogram_as_an_alumni_continues_to_have_a_significant_impact_on_the_results_of_my_current_business","to_what_extent_do_you_agree_with_the_statement

cmf_marketplace_mexico__sinapis_saved_my_business_from_failure",how_does_it_feel_to_pay_or_accept_a_bribe,since_completing_the_cmf_marketplace_mexico__sinapis_program_have_you_been_asked_to_pay_or_accept_any_bribes,how_many_times_did_you_refuse_to_pay_or_accept_a_bribe_as_a_direct_result_of_your_experience_with_cmf_marketplace_mexico__sinapis,do_you_have_any_comments_you_would_like_to_share_about_how_your_experience_with_cmf_marketplace_mexico__sinapis_has_continued_to_impact_you_or_your_business,in_which_areas_of_your_business_are_you_facing_the_most_difficulties_in_which_areas_do_you_feel_you_need_more_training_you_can_select_more_than_one_option,please_write_your_full_name,please_share_the_best_phone_number_to_contact_you,understood_what_a_kingdom_business_is_andor_been_able_to_describe_it_to_others,received_information_about_the_gospel_and_wanted_to_know_more,prayer_request_andor_prayed_with_you_or_with_a_colleague,become_believers_in_jesus_christ,developed_a_deeper_relationship_with_jesus_and_other_believers
HDDJ-1466,2025-04-07 20:15:40.0000000,Yes,Yes,,Yes,Chief Executive Officer/President,Services and Consulting,"Problem identification: You have identified a problem, but you do not have a solution idea yet.",Yes,0.0,It decreased,80.0,No,,3,Varia,No,No,Another,,1-10,,I am eager to learn more about this.,,Neutral,Neutral,"I never accept bribes, and this was something I did even before CMF Marketplace Mexico - Sinapis.",No,Always/Every time,,"Finance (organization systems) and business financial planning, Implementation of Technologies (Digitalization), Marketing and Value communication, Personal/family financial planning, Sales",,,0,0,0,,0
BDFJ-2945,2025-04-07 20:35:07.0000000,Yes,Yes,,Yes,Another,Product Marketing,"Customer traction/early revenue: product in small markets, generating early revenue and likely making initial hires.",No,0.0,,,No,,1,0,"10,000",No,Another,"They are beauty, cleaning, and personal hygiene products",1-10,,I understand and apply environmental principles.,Another,Agreed,Agreed,"I never accept bribes, and this was something I did even before CMF Marketplace Mexico - Sinapis.",No,Always/Every time,"No, I have no comments",Implementation of Technologies (Digitization),,,More than 5,More than 5,1-5,0,More than 5
GEBB-2131,2025-04-07 20:36:26.0000000,Yes,Yes,,Yes,Chief Executive Officer/President,Product Marketing,"Rapid growth: observing a strong and steady customer demand, generating significant revenues and positive cash flow.",No,250000.0,Increased,25.0,Yes,2,10 empleados,1 empleado,No,Yes,"Buy directly from a cooperative owned by producers or a community group that are the main suppliers of inputs for your business (for example, farmers or artisan cooperatives).",We provide quality tortillas and food to our community,101-1000,,I understand and apply environmental principles.,"Preserve water, Renewable energies or Energy efficiency",Agreed,Disagree,"I never accept bribes, and this was something I did even before CMF Marketplace Mexico - Sinapis.",No,Always/Every time,"It helped me to have peace and love for my work, allowing me to understand that this business is also a means to share faith with our clients and employees...","Balance between work and personal life as an entrepreneur, Finance (organization systems) and business financial planning, Implementation of Technologies (Digitalization), Taxes, Marketing and Value communication, Recruitment and selection of personnel",,,More than 5,More than 5,More than 5,More than 5,More than 5
IBIA-3684,2025-04-08 01:59:57.0000000,Yes,Yes,,Yes,Chief Executive Officer/President,Services and Consulting,"Customer traction/early revenue: product in small markets, generating early revenue and likely making initial hires.",No,8000.0,,,Yes,2,1,4,No,No,Another,,1-10,,I am eager to learn more about this.,Another,Agreed,Neutral,I never accept bribes and this was something I learned during CMF Marketplace Mexico - Sinapis.,No,Never,I like that they follow up with former students.,Marketing and Value Communication,,,,,,,
IGDE-7247,2025-04-08 06:06:26.0000000,Yes,Yes,,Yes,Chief Executive Officer/President,Product Marketing,"Rapid growth: observing a strong and steady customer demand, generating significant revenues and positive cash flow.",No,250000.0,Increased,25.0,Yes,2,10,1,No,Yes,"Buy directly from a cooperative owned by producers or a community group that are the main suppliers of inputs for your business (for example, farmers or artisan cooperatives).",In the sale of tortillas and quality food.,1-10,,I am eager to learn more about this.,"Preserve water, Renewable energies or Energy efficiency",I totally agree,Neutral,"I never accept bribes, and this was something I did even before CMF Marketplace Mexico - Sinapis.",No,Always/Every time,"They are always willing to advise me on required topics, offer me further training, pray for me and the business.","Implementation of Technologies (Digitization), Taxes, Recruitment and Selection of Personnel",,,More than 5,More than 5,More than 5,More than 5,More than 5
EJHD-4569,2025-04-09 03:33:27.0000000,Yes,Yes,,Yes,Chief Executive Officer/President,"Doctor: Healthcare, Equipment, Pharmacy.","Solidifying operations: acquiring more clients, making key high-level hires, and moving towards a positive cash flow.",Yes,40000.0,,,No,,1,0,,Yes,"Buy directly from a cooperative owned by producers or a community group that are the main suppliers of inputs for your business (for example, farmers or artisan cooperatives).",,1-10,,"I am familiar with environmental technical terms such as circular economy, carbon footprint, responsible waste management, green financing, etc.",Another,Agreed,Neutral,"I never accept bribes, and this was something I did even before CMF Marketplace Mexico - Sinapis.",No,Never,All good,Recruitment and personnel selection,,,0,,,,
BCAG-9319,2025-04-15 01:40:42.0000000,Yes,Yes,,Yes,Chief Executive Officer/President,Fashion and Clothing,"Solidifying operations: acquiring more clients, making key high-level hires, and moving towards a positive cash flow.",Yes,,,,Yes,2 people,2 personas,,No,No,Another,,,,,Another,Agreed,Neutral,"I never accept bribes, and this was something I did even before CMF Marketplace Mexico - Sinapis.",No,Never,I am paying attention to what comes in and out economically! And seeking better quality in my services,"Implementation of Technologies (Digitization), Sales",,,,,,,
CCCF-5848,2025-04-16 19:15:57.0000000,Yes,Yes,,Yes,Chief Executive Officer/President,Information and Communication Technologies,"Starting to see strong revenue traction: the product or service is selling consistently, generating revenue, and securing key hires.",Yes,1512871.46,Increased,12.0,Yes,1,5,0,0,No,Another,,,,I am eager to learn more about this.,,Agreed,Neutral,"I never accept bribes, and this was something I did even before CMF Marketplace Mexico - Sinapis.",Yes,Always/Every time,The community has been a very good tool for connecting and developing.,"Finance (organization systems) and financial business planning, Taxes, Marketing and Value communication",,,1-5,1-5,1-5,0,0
JICJ-9426,2025-04-17 00:55:34.0000000,Yes,Yes,,No,Employee,Product Marketing,"Problem identification: You have identified a problem, but you do not have a solution idea yet.",Yes,60000.0,Increased,10000.0,No,,1,0,No,No,,,,,I understand and apply environmental principles.,Obtain sustainable materials or packaging,Agreed,Agreed,I never accept bribes and this was something I learned during CMF Marketplace Mexico - Sinapis.,No,Always/Every time,No,"Marketing and Value Communication, Sales",,,1-5,,,,
EFBB-3055,2025-04-17 16:41:29.0000000,Yes,No,,Yes,Chief Executive Officer/President,"Manufacturing: Automotive, Wood, Textile.","Idea/Concept: He formed an idea, but has not yet built a prototype or taken his product/service to the market.",No,,,,Yes,1 designer,,1,if I still don't have it complete,Yes,Another,,1-10,,"I am familiar with environmental technical terms such as circular economy, carbon footprint, responsible waste management, green financing, etc.",,Agreed,Completely disagree,"I never accept bribes, and this was something I did even before CMF Marketplace Mexico - Sinapis.",No,Always/Every time,,Marketing and Value Communication,,,1-5,,1-5,,
